train_perplexity_conv_lstm_transfer_learning,test_perplexity_conv_lstm_transfer_learning,train_loss_conv_lstm_transfer_learning,test_loss_conv_lstm_transfer_learning
"tf.Tensor(1.6358471, shape=(), dtype=float32)","tf.Tensor(3090.7556, shape=(), dtype=float32)","tf.Tensor(0.557184, shape=(), dtype=float32)","tf.Tensor(0.8734952, shape=(), dtype=float32)"
"tf.Tensor(1.5902367, shape=(), dtype=float32)","tf.Tensor(3371.9897, shape=(), dtype=float32)","tf.Tensor(0.53344107, shape=(), dtype=float32)","tf.Tensor(0.88181317, shape=(), dtype=float32)"
"tf.Tensor(1.5444347, shape=(), dtype=float32)","tf.Tensor(3361.989, shape=(), dtype=float32)","tf.Tensor(0.50884986, shape=(), dtype=float32)","tf.Tensor(0.8817505, shape=(), dtype=float32)"
"tf.Tensor(1.5135347, shape=(), dtype=float32)","tf.Tensor(3563.2102, shape=(), dtype=float32)","tf.Tensor(0.49189922, shape=(), dtype=float32)","tf.Tensor(0.887876, shape=(), dtype=float32)"
"tf.Tensor(1.4803337, shape=(), dtype=float32)","tf.Tensor(4071.7905, shape=(), dtype=float32)","tf.Tensor(0.4732788, shape=(), dtype=float32)","tf.Tensor(0.8990743, shape=(), dtype=float32)"
"tf.Tensor(1.444818, shape=(), dtype=float32)","tf.Tensor(3884.5667, shape=(), dtype=float32)","tf.Tensor(0.4529048, shape=(), dtype=float32)","tf.Tensor(0.89631397, shape=(), dtype=float32)"
"tf.Tensor(1.413554, shape=(), dtype=float32)","tf.Tensor(3971.8438, shape=(), dtype=float32)","tf.Tensor(0.43451053, shape=(), dtype=float32)","tf.Tensor(0.8975064, shape=(), dtype=float32)"
"tf.Tensor(1.3819659, shape=(), dtype=float32)","tf.Tensor(4105.2295, shape=(), dtype=float32)","tf.Tensor(0.415513, shape=(), dtype=float32)","tf.Tensor(0.8979128, shape=(), dtype=float32)"
"tf.Tensor(1.3579322, shape=(), dtype=float32)","tf.Tensor(4584.578, shape=(), dtype=float32)","tf.Tensor(0.40074506, shape=(), dtype=float32)","tf.Tensor(0.907957, shape=(), dtype=float32)"
"tf.Tensor(1.3309793, shape=(), dtype=float32)","tf.Tensor(4913.7397, shape=(), dtype=float32)","tf.Tensor(0.38390172, shape=(), dtype=float32)","tf.Tensor(0.9147568, shape=(), dtype=float32)"
"tf.Tensor(1.3065884, shape=(), dtype=float32)","tf.Tensor(4649.397, shape=(), dtype=float32)","tf.Tensor(0.36830866, shape=(), dtype=float32)","tf.Tensor(0.91081184, shape=(), dtype=float32)"
